All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2025-06-15 11:00:00,"Behind every strong woman is often a man who believed in her dreams before she did. Today, we're launching 30 days of honoring the incredible men who lift us up, support our ambitions, and stand beside us as equals. Share a photo of a man who's made a difference in your life and tell us why he's extraordinary. 💙

#MenWeLove #HealthyRelationships #GratefulHeart #LoveAndRespect #StrongTogether",,,,,FALSE,FALSE,"#MenWeLove #HealthyRelationships #GratefulHeart #LoveAndRespect #StrongTogether",Tribute,"Tag a special man in your life and share what makes him amazing!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-16 09:00:00,"THE MORE YOU KNOW: Words have power. Here are 5 ways to communicate with love instead of hurt: 1) Take a breath before responding in anger 2) Use 'I feel' instead of 'You always' 3) Listen to understand, not to win 4) Acknowledge his feelings before defending yours 5) Remember you're on the same team. Healthy communication builds stronger marriages. Which tip will you try today?

#HealthyCommunication #MarriageTips #LoveLanguage #RelationshipGoals #ConflictResolution",,,,,FALSE,FALSE,"#HealthyCommunication #MarriageTips #LoveLanguage #RelationshipGoals #ConflictResolution",Tips & Advice,"Save this post and practice one tip this week!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-17 14:00:00,"Sarah's story: 'My husband lost his job during COVID. Instead of letting pride destroy us, we became a team. I picked up extra shifts while he learned new skills online. Today, he runs a successful tech consultancy. Ladies, when we honor our men during their struggles, we build empires together.' Thank you for sharing, Sarah! Your partnership inspires us all. 🌟

#RealLoveStories #PowerCouple #SupportSystem #MarriageWins #TogetherStronger",,,,,FALSE,FALSE,"#RealLoveStories #PowerCouple #SupportSystem #MarriageWins #TogetherStronger",Customer Story,"Share your story of overcoming challenges together!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-18 12:00:00,"By 2025, AI-powered relationship apps will help couples predict and prevent conflicts before they escalate. Imagine technology that reminds you both to take breaks during heated discussions or suggests personalized ways to show appreciation based on your partner's love language. The future of healthy relationships is here! Are you ready to embrace tech that strengthens your bond?

#FutureOfLove #AIRelationships #TechForGood #Innovation2025 #SmartLove",,,,,FALSE,FALSE,"#FutureOfLove #AIRelationships #TechForGood #Innovation2025 #SmartLove",Future Vision,"Would you use AI to improve your relationship? Comment YES or NO!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-19 18:00:00,"Money talks can make or break a marriage. THE MORE YOU KNOW: Couples who budget together are 50% less likely to divorce. Start with these 3 steps: 1) Schedule monthly money dates (make it fun with takeout!) 2) Create shared financial goals 3) Celebrate small wins together. Remember, transparency builds trust, and trust builds wealth. 💰❤️

#CouplesFinance #MoneyAndMarriage #FinancialWellness #TeamworkMakesTheDreamWork #WealthBuilding",,,,,FALSE,FALSE,"#CouplesFinance #MoneyAndMarriage #FinancialWellness #TeamworkMakesTheDreamWork #WealthBuilding",Financial Tips,"Tag your partner and schedule your first money date!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-20 10:00:00,"Recognizing verbal abuse isn't always easy. Red flags include: constant criticism, name-calling, threats, gaslighting, and isolation from loved ones. Love doesn't hurt. Love doesn't diminish. Love lifts up. If you're experiencing abuse, you're not alone. National Domestic Violence Hotline: 1-800-799-7233. Your safety matters. Your voice matters. You matter.

#EndAbuse #HealthyRelationships #SupportSurvivors #LoveDoesntHurt #YouMatter",,,,,FALSE,FALSE,"#EndAbuse #HealthyRelationships #SupportSurvivors #LoveDoesntHurt #YouMatter",Abuse Prevention,"Share this to help someone who might need it",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-21 13:00:00,"Join us at the 'Women Empowering Relationships Summit 2025'! 3 days of workshops on communication, financial partnership, and building abuse-free homes. Featured speakers include relationship experts, financial advisors, and survivors turned advocates. Early bird tickets now available! Transform your relationship, transform your life. 🎤✨

#WomenEmpowerment #ConferenceAlert #PersonalGrowth #RelationshipSummit #Empower2025",,,,,FALSE,FALSE,"#WomenEmpowerment #ConferenceAlert #PersonalGrowth #RelationshipSummit #Empower2025",Conference Spotlight,"Register now at [website] - bring a friend for 20% off!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-22 17:00:00,"To the fathers who braid hair, pack lunches, and show up to every recital. To the husbands who champion their wives' careers. To the sons who call their mothers. To the brothers who protect and respect. Today we celebrate men who understand that real strength is shown through gentleness, presence, and unconditional love. You make our world better. 🙏

#GoodMen #Fatherhood #RealStrength #MenWeCelebrate #LoveInAction",,,,,FALSE,FALSE,"#GoodMen #Fatherhood #RealStrength #MenWeCelebrate #LoveInAction",Tribute,"Share a photo of a good man in your life!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
2025-06-23 11:00:00,"THE MORE YOU KNOW: Preventing verbal abuse starts with self-awareness. Before you speak in anger, try the THINK method: T - Is it True? H - Is it Helpful? I - Is it Inspiring? N - Is it Necessary? K - Is it Kind? If the answer to any is NO, pause and reframe. Your words can build or break. Choose to build.

#HealthyCommunication #AngerManagement #RelationshipAdvice #ChooseKindness #THINKBeforeYouSpeak",,,,,FALSE,FALSE,"#HealthyCommunication #AngerManagement #RelationshipAdvice #ChooseKindness #THINKBeforeYouSpeak",Tips & Advice,"Screenshot this and use it as your phone wallpaper this week!",post,post,,FALSE,,,,,,,,,,,,public,video,everyone,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,
